gender,body_type,season,occasion,accessories
Men,Rectangle,Summer,Casual,Watch
Men,Apple,Winter,Ethnic,Cap
Women,Inverted Triangle,Autumn,Gym/Sport,Earrings
Men,Apple,Spring,Casual,Tie
Men,Triangle,Winter,Party,Watch
Men,V-Shape,Summer,Ethnic,Cap
Women,Hourglass,Summer,Business,Watch
Women,Round,Autumn,Business,Belt
Men,Rectangle,Autumn,Casual,Watch
Women,Inverted Triangle,Winter,Gym/Sport,Handbag
Men,Apple,Summer,Ethnic,Tie
Men,V-Shape,Summer,Ethnic,Leather Shoes
Men,Apple,Spring,Business,Cap
Men,Triangle,Summer,Party,Tie
Women,Rectangle,Autumn,Ethnic,Scarf
Men,Apple,Autumn,Business,Leather Shoes
Men,Rectangle,Winter,Business,Tie
Women,Inverted Triangle,Winter,Casual,Watch
Women,Hourglass,Spring,Party,Heels
Men,Triangle,Autumn,Ethnic,Sneakers
Women,Round,Spring,Gym/Sport,Earrings
Men,V-Shape,Autumn,Casual,Cap
Men,Rectangle,Winter,Ethnic,Tie
Women,Inverted Triangle,Winter,Party,Handbag
Women,Inverted Triangle,Summer,Business,Clutch
Men,Apple,Spring,Ethnic,Tie
Women,Round,Summer,Business,Watch
Women,Triangle,Summer,Party,Heels
Women,Hourglass,Summer,Ethnic,Earrings
Women,Rectangle,Spring,Party,Heels
Women,Hourglass,Summer,Ethnic,Clutch
Men,V-Shape,Summer,Casual,Watch
Men,Triangle,Summer,Business,Tie
Men,Triangle,Autumn,Gym/Sport,Watch
Men,Rectangle,Spring,Business,Leather Shoes
Men,Apple,Autumn,Gym/Sport,Sneakers
Men,V-Shape,Autumn,Ethnic,Cap
Men,Rectangle,Autumn,Ethnic,Leather Shoes
Men,Apple,Spring,Party,Cufflinks
Women,Inverted Triangle,Summer,Gym/Sport,Earrings
Women,Round,Autumn,Ethnic,Watch
Women,Round,Autumn,Casual,Clutch
Men,Triangle,Spring,Gym/Sport,Sneakers
Men,Rectangle,Spring,Gym/Sport,Sneakers
Women,Hourglass,Summer,Casual,Watch
Women,Hourglass,Spring,Gym/Sport,Earrings
Women,Rectangle,Spring,Ethnic,Watch
Men,Triangle,Winter,Gym/Sport,Leather Shoes
Women,Triangle,Summer,Gym/Sport,Scarf
Men,Rectangle,Summer,Business,Leather Shoes
Women,Hourglass,Autumn,Gym/Sport,Belt
Women,Hourglass,Autumn,Business,Heels
Women,Inverted Triangle,Summer,Business,Watch
Women,Inverted Triangle,Autumn,Ethnic,Scarf
Men,V-Shape,Winter,Gym/Sport,Tie
Men,Rectangle,Autumn,Ethnic,Cap
Men,Rectangle,Autumn,Business,Watch
Women,Rectangle,Autumn,Business,Scarf
Women,Round,Winter,Party,Heels
Men,Triangle,Winter,Business,Leather Shoes
Women,Hourglass,Winter,Business,Belt
Women,Round,Autumn,Casual,Watch
Women,Hourglass,Summer,Gym/Sport,Belt
Women,Rectangle,Spring,Party,Watch
Women,Hourglass,Summer,Party,Earrings
Men,Apple,Spring,Business,Leather Shoes
Men,Rectangle,Summer,Ethnic,Cufflinks
Women,Hourglass,Autumn,Casual,Earrings
Women,Hourglass,Spring,Ethnic,Clutch
Men,Triangle,Winter,Business,Tie
Men,Apple,Autumn,Gym/Sport,Cufflinks
Men,V-Shape,Winter,Business,Watch
Women,Inverted Triangle,Autumn,Gym/Sport,Clutch
Women,Rectangle,Autumn,Business,Belt
Men,Rectangle,Autumn,Business,Leather Shoes
Women,Rectangle,Summer,Casual,Earrings
Women,Inverted Triangle,Summer,Party,Heels
Women,Inverted Triangle,Autumn,Party,Belt
Men,V-Shape,Autumn,Casual,Leather Shoes
Men,V-Shape,Winter,Casual,Cap
Men,V-Shape,Autumn,Ethnic,Watch
Women,Inverted Triangle,Autumn,Gym/Sport,Clutch
Women,Round,Summer,Ethnic,Heels
Women,Round,Spring,Gym/Sport,Handbag
Men,Triangle,Spring,Gym/Sport,Cap
Women,Round,Autumn,Ethnic,Handbag
Women,Hourglass,Spring,Ethnic,Handbag
Men,Apple,Summer,Ethnic,Watch
Women,Hourglass,Winter,Business,Clutch
Men,Rectangle,Autumn,Ethnic,Tie
Men,V-Shape,Spring,Casual,Tie
Men,Apple,Spring,Gym/Sport,Leather Shoes
Women,Round,Spring,Casual,Scarf
Men,Rectangle,Summer,Business,Watch
Men,Triangle,Spring,Ethnic,Sneakers
Women,Round,Spring,Ethnic,Heels
Men,Triangle,Spring,Casual,Cufflinks
Women,Inverted Triangle,Spring,Casual,Heels
Men,Apple,Spring,Ethnic,Watch
Men,V-Shape,Winter,Gym/Sport,Cap
Women,Round,Winter,Casual,Heels
Women,Rectangle,Autumn,Gym/Sport,Clutch
Men,V-Shape,Spring,Party,Watch
Men,Apple,Winter,Business,Watch
Women,Inverted Triangle,Winter,Business,Handbag
Women,Triangle,Summer,Casual,Heels
Women,Hourglass,Winter,Gym/Sport,Scarf
Men,Apple,Autumn,Party,Tie
Men,Apple,Spring,Party,Leather Shoes
Women,Triangle,Summer,Ethnic,Handbag
Men,Apple,Summer,Casual,Sneakers
Women,Inverted Triangle,Summer,Business,Belt
Women,Inverted Triangle,Winter,Party,Belt
Men,Triangle,Autumn,Casual,Cap
Women,Hourglass,Spring,Casual,Earrings
Women,Round,Autumn,Business,Watch
Men,Rectangle,Winter,Business,Leather Shoes
Women,Round,Spring,Ethnic,Watch
Men,Rectangle,Spring,Ethnic,Tie
Women,Inverted Triangle,Autumn,Gym/Sport,Clutch
Men,Triangle,Winter,Party,Cufflinks
Men,Apple,Winter,Party,Watch
Women,Inverted Triangle,Autumn,Gym/Sport,Heels
Men,Apple,Autumn,Business,Cufflinks
Women,Hourglass,Autumn,Party,Clutch
Men,Apple,Winter,Party,Tie
Women,Rectangle,Winter,Casual,Earrings
Men,V-Shape,Spring,Ethnic,Sneakers
Men,Apple,Autumn,Ethnic,Leather Shoes
Women,Rectangle,Spring,Casual,Handbag
Women,Hourglass,Summer,Ethnic,Handbag
Women,Inverted Triangle,Summer,Party,Heels
Men,Apple,Autumn,Ethnic,Sneakers
Men,V-Shape,Spring,Party,Tie
Men,Triangle,Autumn,Ethnic,Cufflinks
Women,Rectangle,Summer,Casual,Clutch
Men,Apple,Winter,Gym/Sport,Tie
Men,V-Shape,Spring,Casual,Tie
Men,V-Shape,Spring,Gym/Sport,Leather Shoes
Women,Rectangle,Spring,Gym/Sport,Handbag
Women,Hourglass,Spring,Casual,Heels
Women,Rectangle,Winter,Business,Watch
Women,Triangle,Spring,Party,Handbag
Women,Triangle,Summer,Ethnic,Scarf
Men,Apple,Summer,Business,Sneakers
Men,Triangle,Winter,Gym/Sport,Sneakers
Women,Round,Spring,Ethnic,Belt
Women,Inverted Triangle,Spring,Gym/Sport,Heels
Women,Triangle,Autumn,Ethnic,Clutch
Men,Rectangle,Spring,Casual,Cap
Women,Hourglass,Autumn,Casual,Watch
Women,Triangle,Winter,Party,Earrings
Women,Inverted Triangle,Autumn,Ethnic,Scarf
Women,Triangle,Autumn,Business,Belt
Men,Triangle,Winter,Casual,Tie
Men,Apple,Spring,Business,Cap
Men,Triangle,Autumn,Gym/Sport,Cufflinks
Women,Hourglass,Winter,Business,Scarf
Women,Hourglass,Winter,Gym/Sport,Heels
Men,V-Shape,Spring,Party,Cap
Men,V-Shape,Autumn,Gym/Sport,Watch
Men,V-Shape,Spring,Casual,Cap
Women,Triangle,Summer,Gym/Sport,Watch
Women,Inverted Triangle,Summer,Casual,Earrings
Men,Rectangle,Winter,Party,Cufflinks
Women,Hourglass,Winter,Gym/Sport,Belt
Women,Hourglass,Summer,Party,Clutch
Women,Inverted Triangle,Spring,Ethnic,Watch
Women,Triangle,Autumn,Gym/Sport,Scarf
Men,Apple,Summer,Gym/Sport,Tie
Women,Triangle,Winter,Gym/Sport,Earrings
Men,Rectangle,Winter,Casual,Cap
Women,Round,Spring,Gym/Sport,Earrings
Women,Hourglass,Autumn,Casual,Heels
Men,Triangle,Spring,Ethnic,Watch
Women,Hourglass,Spring,Ethnic,Scarf
Men,V-Shape,Autumn,Casual,Watch
Men,Triangle,Winter,Party,Cap
Men,Triangle,Autumn,Gym/Sport,Leather Shoes
Women,Round,Spring,Ethnic,Handbag
Women,Round,Autumn,Ethnic,Clutch
Men,V-Shape,Spring,Party,Leather Shoes
Women,Triangle,Summer,Casual,Watch
Women,Hourglass,Autumn,Business,Belt
Men,Rectangle,Autumn,Ethnic,Sneakers
Women,Round,Winter,Gym/Sport,Scarf
Women,Rectangle,Spring,Gym/Sport,Scarf
Men,V-Shape,Summer,Business,Watch
Men,Rectangle,Winter,Casual,Leather Shoes
Men,Triangle,Winter,Gym/Sport,Leather Shoes
Women,Inverted Triangle,Summer,Party,Earrings
Men,Rectangle,Autumn,Party,Sneakers
Women,Triangle,Summer,Ethnic,Heels
Men,Rectangle,Winter,Party,Cufflinks
Men,Apple,Winter,Business,Cufflinks
Men,Rectangle,Winter,Casual,Leather Shoes
Men,Rectangle,Autumn,Party,Cap
Men,Triangle,Winter,Party,Sneakers
Women,Hourglass,Autumn,Party,Scarf
Women,Hourglass,Summer,Party,Earrings
Women,Triangle,Autumn,Party,Earrings
Men,Triangle,Winter,Party,Cap
Men,Rectangle,Summer,Casual,Tie
Men,V-Shape,Summer,Gym/Sport,Watch
Men,Apple,Summer,Casual,Tie
Women,Round,Summer,Business,Scarf
Men,V-Shape,Autumn,Ethnic,Cap
Men,Apple,Winter,Ethnic,Tie
Women,Hourglass,Summer,Business,Handbag
Men,Apple,Autumn,Business,Leather Shoes
Men,V-Shape,Spring,Casual,Leather Shoes
Women,Rectangle,Winter,Casual,Handbag
Women,Hourglass,Spring,Business,Handbag
Men,Apple,Summer,Party,Sneakers
Women,Hourglass,Winter,Gym/Sport,Belt
Women,Triangle,Winter,Party,Handbag
Men,Triangle,Winter,Gym/Sport,Cap
Women,Round,Spring,Gym/Sport,Watch
Women,Hourglass,Autumn,Casual,Earrings
Women,Triangle,Summer,Ethnic,Handbag
Women,Triangle,Summer,Ethnic,Belt
Men,Rectangle,Summer,Casual,Watch
Women,Round,Summer,Casual,Heels
Men,Triangle,Autumn,Party,Cufflinks
Women,Triangle,Spring,Gym/Sport,Earrings
Men,Triangle,Summer,Ethnic,Leather Shoes
Women,Hourglass,Autumn,Business,Watch
Men,V-Shape,Autumn,Party,Cap
Men,V-Shape,Summer,Casual,Cap
Women,Hourglass,Autumn,Casual,Scarf
Men,Rectangle,Spring,Party,Watch
Women,Triangle,Autumn,Casual,Scarf
Women,Round,Autumn,Business,Handbag
Women,Rectangle,Summer,Ethnic,Heels
Women,Hourglass,Summer,Business,Belt
Women,Inverted Triangle,Summer,Gym/Sport,Handbag
Men,V-Shape,Autumn,Party,Leather Shoes
Women,Rectangle,Winter,Gym/Sport,Watch
Men,V-Shape,Summer,Ethnic,Cap
Women,Round,Autumn,Casual,Belt
Women,Inverted Triangle,Spring,Ethnic,Handbag
Men,Apple,Spring,Party,Leather Shoes
Women,Hourglass,Winter,Gym/Sport,Watch
Men,V-Shape,Summer,Business,Sneakers
Women,Round,Summer,Ethnic,Earrings
Women,Hourglass,Autumn,Casual,Clutch
Men,Triangle,Summer,Casual,Tie
Men,Rectangle,Winter,Gym/Sport,Leather Shoes
Men,Rectangle,Summer,Gym/Sport,Sneakers
Men,Triangle,Summer,Business,Cufflinks
Women,Hourglass,Winter,Ethnic,Heels
Men,Apple,Autumn,Ethnic,Watch
Women,Rectangle,Spring,Gym/Sport,Earrings
Women,Rectangle,Spring,Party,Watch
Men,V-Shape,Spring,Business,Watch
Men,V-Shape,Summer,Casual,Watch
Women,Triangle,Autumn,Gym/Sport,Clutch
Men,Rectangle,Autumn,Party,Leather Shoes
Women,Hourglass,Winter,Party,Scarf
Women,Rectangle,Summer,Party,Handbag
Men,Triangle,Autumn,Gym/Sport,Leather Shoes
Men,V-Shape,Spring,Business,Sneakers
Women,Inverted Triangle,Summer,Casual,Earrings
Men,Rectangle,Spring,Ethnic,Leather Shoes
Men,Triangle,Autumn,Party,Leather Shoes
Men,Apple,Summer,Gym/Sport,Leather Shoes
Men,Rectangle,Spring,Ethnic,Sneakers
Women,Rectangle,Summer,Party,Belt
Men,Apple,Autumn,Business,Sneakers
Women,Inverted Triangle,Autumn,Gym/Sport,Handbag
Women,Inverted Triangle,Spring,Gym/Sport,Heels
Women,Hourglass,Autumn,Gym/Sport,Handbag
Women,Round,Spring,Gym/Sport,Belt
Women,Rectangle,Autumn,Party,Watch
Women,Triangle,Winter,Casual,Heels
Women,Rectangle,Spring,Casual,Earrings
Men,Triangle,Summer,Ethnic,Cap
Women,Triangle,Spring,Business,Earrings
Men,V-Shape,Summer,Ethnic,Watch
Women,Inverted Triangle,Spring,Ethnic,Watch
Women,Round,Spring,Ethnic,Watch
Women,Rectangle,Winter,Gym/Sport,Clutch
Women,Triangle,Summer,Ethnic,Belt
Women,Inverted Triangle,Summer,Gym/Sport,Clutch
Women,Triangle,Autumn,Ethnic,Handbag
Women,Triangle,Autumn,Casual,Clutch
Women,Round,Summer,Business,Earrings
Men,Triangle,Autumn,Casual,Sneakers
Men,Apple,Summer,Gym/Sport,Watch
Women,Rectangle,Summer,Business,Earrings
Women,Rectangle,Winter,Party,Heels
Men,Triangle,Summer,Gym/Sport,Cap
Men,Triangle,Spring,Gym/Sport,Cap
Men,Apple,Summer,Party,Tie
Women,Round,Spring,Party,Scarf
Men,Triangle,Winter,Gym/Sport,Cufflinks
Women,Hourglass,Summer,Party,Scarf
Men,Rectangle,Spring,Party,Leather Shoes
Men,Apple,Winter,Casual,Tie
Women,Triangle,Spring,Casual,Clutch
Men,Triangle,Autumn,Casual,Sneakers
Women,Hourglass,Winter,Ethnic,Earrings
Women,Hourglass,Winter,Business,Earrings
Women,Triangle,Summer,Ethnic,Watch
Women,Rectangle,Summer,Casual,Handbag
Women,Round,Summer,Ethnic,Heels
Men,Apple,Winter,Party,Leather Shoes
Women,Rectangle,Summer,Ethnic,Belt
Women,Triangle,Winter,Ethnic,Watch
Men,Rectangle,Winter,Party,Tie
Women,Triangle,Winter,Casual,Heels
Women,Inverted Triangle,Summer,Party,Watch
Men,Triangle,Autumn,Ethnic,Tie
Women,Triangle,Winter,Business,Heels
Women,Rectangle,Summer,Casual,Clutch
Men,Apple,Spring,Casual,Tie
Men,Apple,Spring,Party,Cap
Men,Rectangle,Summer,Business,Sneakers
Men,V-Shape,Spring,Party,Tie
Women,Triangle,Spring,Business,Earrings
Women,Inverted Triangle,Winter,Party,Scarf
Men,Rectangle,Winter,Business,Leather Shoes
Women,Inverted Triangle,Summer,Business,Watch
Women,Inverted Triangle,Winter,Casual,Watch
Women,Triangle,Winter,Ethnic,Earrings
Men,V-Shape,Winter,Business,Cap
Men,Rectangle,Winter,Party,Cufflinks
Women,Inverted Triangle,Spring,Party,Heels
Men,Apple,Summer,Business,Leather Shoes
Women,Inverted Triangle,Summer,Casual,Heels
Men,V-Shape,Summer,Party,Leather Shoes
Men,Apple,Autumn,Ethnic,Watch
Men,Rectangle,Autumn,Gym/Sport,Cap
Men,Apple,Autumn,Ethnic,Leather Shoes
Men,Triangle,Summer,Gym/Sport,Leather Shoes
Women,Round,Winter,Ethnic,Earrings
Men,V-Shape,Spring,Gym/Sport,Cufflinks
Men,Rectangle,Summer,Gym/Sport,Watch
Men,Rectangle,Winter,Casual,Cap
Women,Triangle,Winter,Ethnic,Handbag
Women,Round,Summer,Business,Watch
Men,V-Shape,Spring,Gym/Sport,Sneakers
Women,Triangle,Summer,Party,Clutch
Men,V-Shape,Autumn,Party,Cufflinks
Women,Hourglass,Winter,Gym/Sport,Heels
Men,Triangle,Summer,Business,Watch
Men,Rectangle,Spring,Party,Tie
Women,Inverted Triangle,Autumn,Business,Clutch
Men,V-Shape,Spring,Casual,Tie
Women,Triangle,Autumn,Ethnic,Heels
Men,V-Shape,Spring,Casual,Watch
Men,Apple,Summer,Party,Leather Shoes
Men,V-Shape,Summer,Casual,Cufflinks
Men,Triangle,Winter,Business,Tie
Men,Triangle,Spring,Gym/Sport,Sneakers
Men,Triangle,Spring,Gym/Sport,Tie
Men,V-Shape,Summer,Business,Watch
Women,Hourglass,Summer,Ethnic,Watch
Women,Hourglass,Summer,Ethnic,Watch
Men,V-Shape,Summer,Gym/Sport,Cufflinks
Men,Rectangle,Summer,Gym/Sport,Cufflinks
Men,Triangle,Winter,Party,Tie
Women,Inverted Triangle,Summer,Gym/Sport,Belt
Men,Apple,Summer,Casual,Leather Shoes
Women,Round,Autumn,Party,Clutch
Men,V-Shape,Autumn,Party,Watch
Women,Round,Spring,Ethnic,Belt
Men,Triangle,Autumn,Gym/Sport,Watch
Women,Rectangle,Spring,Business,Scarf
Men,Rectangle,Winter,Business,Tie
Women,Rectangle,Summer,Ethnic,Scarf
Men,V-Shape,Autumn,Ethnic,Cap
Women,Rectangle,Winter,Ethnic,Handbag
Women,Hourglass,Spring,Business,Heels
Women,Hourglass,Summer,Party,Handbag
Women,Round,Spring,Party,Heels
Women,Inverted Triangle,Autumn,Casual,Watch
Men,Apple,Autumn,Casual,Watch
Women,Hourglass,Winter,Ethnic,Earrings
Women,Hourglass,Spring,Party,Belt
Men,V-Shape,Spring,Ethnic,Cufflinks
Women,Round,Autumn,Gym/Sport,Scarf
Women,Hourglass,Spring,Gym/Sport,Handbag
Women,Hourglass,Winter,Business,Earrings
Men,V-Shape,Spring,Business,Sneakers
Women,Hourglass,Spring,Casual,Clutch
Women,Hourglass,Spring,Business,Earrings
Men,Apple,Winter,Business,Watch
Women,Inverted Triangle,Autumn,Business,Earrings
Women,Inverted Triangle,Summer,Party,Earrings
Women,Rectangle,Summer,Ethnic,Watch
Women,Round,Winter,Business,Clutch
Men,Triangle,Autumn,Ethnic,Cap
Men,V-Shape,Spring,Business,Leather Shoes
Women,Hourglass,Autumn,Casual,Earrings
Men,Triangle,Spring,Gym/Sport,Leather Shoes
Men,V-Shape,Spring,Gym/Sport,Tie
Men,Apple,Summer,Ethnic,Cufflinks
Men,Rectangle,Spring,Gym/Sport,Leather Shoes
Women,Rectangle,Autumn,Business,Scarf
Men,Triangle,Autumn,Gym/Sport,Tie
Women,Inverted Triangle,Summer,Gym/Sport,Watch
Men,Rectangle,Winter,Gym/Sport,Watch
Women,Triangle,Spring,Ethnic,Belt
Women,Inverted Triangle,Spring,Business,Belt
Women,Triangle,Spring,Casual,Heels
Women,Round,Spring,Ethnic,Clutch
Men,Triangle,Summer,Business,Watch
Men,Triangle,Spring,Party,Cap
Women,Inverted Triangle,Spring,Party,Earrings
Women,Rectangle,Spring,Business,Watch
Women,Hourglass,Summer,Party,Watch
Women,Hourglass,Autumn,Party,Belt
Women,Rectangle,Spring,Gym/Sport,Heels
Men,Rectangle,Winter,Casual,Watch
Women,Triangle,Summer,Gym/Sport,Clutch
Men,V-Shape,Autumn,Party,Cufflinks
Men,Rectangle,Summer,Ethnic,Tie
Women,Round,Winter,Gym/Sport,Scarf
Men,V-Shape,Autumn,Casual,Tie
Women,Inverted Triangle,Winter,Ethnic,Earrings
Men,V-Shape,Winter,Business,Sneakers
Women,Rectangle,Spring,Gym/Sport,Earrings
Women,Round,Autumn,Ethnic,Handbag
Women,Rectangle,Winter,Party,Clutch
Men,Apple,Summer,Business,Watch
Women,Round,Spring,Gym/Sport,Handbag
Women,Inverted Triangle,Spring,Casual,Handbag
Men,V-Shape,Spring,Party,Watch
Men,V-Shape,Autumn,Gym/Sport,Watch
Women,Rectangle,Spring,Business,Earrings
Women,Inverted Triangle,Summer,Gym/Sport,Clutch
Men,Triangle,Winter,Ethnic,Tie
Women,Round,Autumn,Gym/Sport,Watch
Men,V-Shape,Summer,Business,Cufflinks
Men,Apple,Winter,Casual,Cufflinks
Men,Triangle,Autumn,Business,Leather Shoes
Women,Inverted Triangle,Summer,Casual,Handbag
Women,Triangle,Autumn,Ethnic,Handbag
Men,Triangle,Winter,Ethnic,Watch
Men,V-Shape,Autumn,Ethnic,Leather Shoes
Men,Rectangle,Winter,Ethnic,Tie
Women,Rectangle,Summer,Business,Clutch
Men,Apple,Summer,Casual,Leather Shoes
Women,Triangle,Spring,Gym/Sport,Belt
Men,Apple,Winter,Gym/Sport,Tie
Men,Rectangle,Summer,Business,Cap
Men,V-Shape,Winter,Business,Watch
Women,Triangle,Spring,Gym/Sport,Belt
Men,V-Shape,Spring,Ethnic,Sneakers
Men,Rectangle,Winter,Business,Leather Shoes
Men,Triangle,Winter,Gym/Sport,Sneakers
Women,Rectangle,Summer,Business,Belt
Women,Round,Autumn,Casual,Belt
Women,Triangle,Winter,Gym/Sport,Earrings
Men,V-Shape,Spring,Business,Sneakers
Men,Apple,Summer,Casual,Watch
Men,Apple,Winter,Ethnic,Cap
Women,Rectangle,Winter,Business,Belt
Women,Triangle,Winter,Business,Handbag
Women,Rectangle,Winter,Gym/Sport,Belt
Women,Hourglass,Spring,Business,Heels
Women,Rectangle,Summer,Gym/Sport,Belt
Men,Apple,Winter,Gym/Sport,Leather Shoes
Women,Hourglass,Summer,Party,Earrings
Men,Rectangle,Spring,Casual,Leather Shoes
Men,V-Shape,Summer,Casual,Leather Shoes
Men,Rectangle,Summer,Gym/Sport,Tie
Women,Round,Spring,Gym/Sport,Heels
Men,Rectangle,Spring,Ethnic,Cap
Women,Rectangle,Winter,Gym/Sport,Handbag
Women,Round,Summer,Casual,Scarf
Men,V-Shape,Summer,Ethnic,Watch
Women,Triangle,Summer,Party,Scarf
Men,Apple,Summer,Party,Cufflinks
Women,Round,Summer,Gym/Sport,Handbag
Women,Round,Winter,Business,Earrings
Men,Triangle,Summer,Gym/Sport,Cap
Women,Inverted Triangle,Winter,Ethnic,Heels
Women,Rectangle,Spring,Party,Clutch
Women,Round,Autumn,Business,Scarf
Men,V-Shape,Summer,Party,Sneakers
Women,Round,Summer,Party,Heels
Men,V-Shape,Autumn,Casual,Cap
Women,Triangle,Summer,Casual,Belt
Men,V-Shape,Autumn,Business,Cufflinks
Women,Hourglass,Summer,Party,Clutch
Men,V-Shape,Spring,Gym/Sport,Cufflinks
Women,Triangle,Spring,Ethnic,Scarf
Men,V-Shape,Spring,Gym/Sport,Tie
Women,Inverted Triangle,Winter,Party,Earrings
Women,Triangle,Spring,Business,Scarf
Women,Triangle,Summer,Ethnic,Earrings
Men,Rectangle,Spring,Party,Cap
Women,Hourglass,Autumn,Business,Watch
Women,Round,Autumn,Party,Heels
Men,Triangle,Spring,Gym/Sport,Leather Shoes
Women,Inverted Triangle,Spring,Business,Heels
Men,Triangle,Autumn,Ethnic,Cufflinks
Men,V-Shape,Winter,Ethnic,Sneakers
Women,Hourglass,Spring,Casual,Earrings
Women,Triangle,Winter,Ethnic,Scarf
Men,Apple,Summer,Business,Cap
Women,Rectangle,Winter,Casual,Earrings
Women,Hourglass,Summer,Gym/Sport,Scarf
Men,Apple,Autumn,Casual,Cap
Women,Round,Autumn,Business,Handbag
Women,Triangle,Winter,Party,Belt
Women,Inverted Triangle,Spring,Party,Handbag
Men,Rectangle,Spring,Business,Cufflinks
Women,Rectangle,Summer,Casual,Scarf
Women,Rectangle,Summer,Party,Clutch
Men,V-Shape,Autumn,Business,Sneakers
Men,Apple,Winter,Business,Watch
Men,Apple,Summer,Gym/Sport,Cufflinks
Women,Rectangle,Spring,Gym/Sport,Scarf
Women,Rectangle,Spring,Party,Watch
Women,Round,Spring,Gym/Sport,Earrings
Men,Apple,Winter,Party,Cufflinks
Men,Triangle,Summer,Gym/Sport,Cufflinks
Women,Round,Summer,Business,Clutch
Women,Hourglass,Summer,Casual,Scarf
Women,Hourglass,Autumn,Ethnic,Scarf
Women,Round,Spring,Party,Earrings
Men,V-Shape,Summer,Casual,Leather Shoes
Women,Hourglass,Summer,Party,Scarf
Women,Rectangle,Autumn,Gym/Sport,Earrings
Women,Rectangle,Winter,Party,Watch
Men,Rectangle,Spring,Casual,Tie
Men,Rectangle,Spring,Ethnic,Cufflinks
Men,Apple,Winter,Ethnic,Cap
Women,Rectangle,Spring,Gym/Sport,Earrings
Women,Hourglass,Winter,Party,Scarf
Women,Triangle,Summer,Casual,Belt
Women,Hourglass,Winter,Business,Clutch
Women,Inverted Triangle,Spring,Gym/Sport,Watch
Women,Rectangle,Spring,Gym/Sport,Clutch
Women,Hourglass,Summer,Ethnic,Watch
Women,Hourglass,Winter,Casual,Earrings
Women,Rectangle,Spring,Casual,Watch
Women,Inverted Triangle,Autumn,Party,Watch
Women,Rectangle,Summer,Party,Clutch
Men,Rectangle,Summer,Casual,Cufflinks
Men,Rectangle,Autumn,Casual,Cap
Women,Inverted Triangle,Autumn,Business,Clutch
Women,Round,Summer,Gym/Sport,Handbag
Women,Inverted Triangle,Summer,Business,Clutch
Women,Hourglass,Spring,Casual,Belt
Men,V-Shape,Spring,Ethnic,Cufflinks
Women,Hourglass,Spring,Party,Earrings
Men,Triangle,Summer,Gym/Sport,Sneakers
Men,Triangle,Autumn,Party,Cap
Men,V-Shape,Autumn,Gym/Sport,Tie
Women,Rectangle,Summer,Ethnic,Earrings
Men,Triangle,Summer,Party,Cufflinks
Women,Rectangle,Autumn,Party,Scarf
Women,Inverted Triangle,Winter,Gym/Sport,Scarf
Men,V-Shape,Winter,Casual,Tie
Women,Round,Summer,Business,Earrings
Men,Rectangle,Winter,Casual,Leather Shoes
Women,Rectangle,Winter,Business,Belt
Women,Hourglass,Summer,Business,Belt
Women,Triangle,Summer,Ethnic,Clutch
Men,Rectangle,Spring,Party,Tie
Women,Inverted Triangle,Spring,Casual,Clutch
Men,Rectangle,Summer,Party,Sneakers
Men,Rectangle,Autumn,Ethnic,Watch
Men,V-Shape,Winter,Casual,Sneakers
Men,Triangle,Winter,Business,Cap
Women,Inverted Triangle,Spring,Party,Belt
Women,Rectangle,Winter,Casual,Handbag
Women,Rectangle,Winter,Gym/Sport,Earrings
Women,Rectangle,Autumn,Ethnic,Earrings
Women,Hourglass,Summer,Business,Scarf
Women,Inverted Triangle,Spring,Business,Heels
Men,Apple,Autumn,Casual,Tie
Women,Rectangle,Autumn,Business,Watch
Men,Triangle,Winter,Ethnic,Cap
Women,Rectangle,Spring,Ethnic,Belt
Women,Rectangle,Autumn,Casual,Heels
Men,Rectangle,Summer,Business,Cap
Women,Hourglass,Autumn,Party,Heels
Women,Round,Autumn,Party,Watch
Women,Inverted Triangle,Winter,Business,Handbag
Women,Hourglass,Winter,Ethnic,Handbag
Women,Rectangle,Autumn,Gym/Sport,Belt
Women,Hourglass,Spring,Gym/Sport,Belt
Men,V-Shape,Spring,Casual,Cufflinks
Women,Round,Winter,Gym/Sport,Heels
Men,V-Shape,Spring,Gym/Sport,Cufflinks
Women,Round,Spring,Gym/Sport,Handbag
Women,Rectangle,Summer,Casual,Heels
Women,Rectangle,Summer,Business,Earrings
Women,Inverted Triangle,Winter,Party,Clutch
Men,Triangle,Summer,Casual,Sneakers
Men,Rectangle,Winter,Casual,Watch
Men,Rectangle,Spring,Party,Sneakers
Women,Inverted Triangle,Summer,Business,Earrings
Women,Round,Autumn,Ethnic,Heels
Men,Triangle,Winter,Ethnic,Watch
Women,Triangle,Autumn,Party,Belt
Women,Hourglass,Winter,Casual,Scarf
Women,Rectangle,Winter,Ethnic,Heels
Women,Round,Autumn,Party,Handbag
Women,Inverted Triangle,Winter,Casual,Clutch
Men,Rectangle,Spring,Ethnic,Cap
Women,Triangle,Spring,Business,Earrings
Women,Triangle,Winter,Gym/Sport,Watch
Women,Rectangle,Winter,Gym/Sport,Handbag
Women,Round,Spring,Party,Earrings
Men,Apple,Autumn,Ethnic,Cufflinks
Women,Round,Spring,Party,Watch
Women,Round,Summer,Casual,Watch
Women,Triangle,Summer,Party,Handbag
Men,V-Shape,Winter,Gym/Sport,Leather Shoes
Men,Apple,Winter,Business,Tie
